"","GEOID","cbsa","state_abb","variable","pop","moe"
"315","41740","San Diego-Carlsbad","CA","B01003_001",3302833,NA
"316","41860","San Francisco-Oakland-Hayward","CA","B01003_001",4673221,NA
"317","41900","San Germán","PR","B01003_001",127488,NA
"318","41940","San Jose-Sunnyvale-Santa Clara","CA","B01003_001",1981616,NA
"319","41980","San Juan-Carolina-Caguas","PR","B01003_001",2142392,NA
"320","42020","San Luis Obispo-Paso Robles-Arroyo Grande","CA","B01003_001",281455,NA
"321","42100","Santa Cruz-Watsonville","CA","B01003_001",273765,NA
"322","42140","Santa Fe","NM","B01003_001",148917,NA
"323","42200","Santa Maria-Santa Barbara","CA","B01003_001",443738,NA
"324","42220","Santa Rosa","CA","B01003_001",501317,NA
"325","42340","Savannah","GA","B01003_001",381623,NA
"326","42540","Scranton--Wilkes-Barre--Hazleton","PA","B01003_001",556926,NA
"327","42660","Seattle-Tacoma-Bellevue","WA","B01003_001",3809717,NA
"328","42680","Sebastian-Vero Beach","FL","B01003_001",150984,NA
"329","42700","Sebring","FL","B01003_001",102101,NA
"330","43100","Sheboygan","WI","B01003_001",115205,NA
"331","43300","Sherman-Denison","TX","B01003_001",128560,NA
"332","43340","Shreveport-Bossier City","LA","B01003_001",441339,NA
"333","43420","Sierra Vista-Douglas","AZ","B01003_001",126279,NA
"334","43580","Sioux City","IA","B01003_001",168677,NA
"335","43620","Sioux Falls","SD","B01003_001",255438,NA
"336","43780","South Bend-Mishawaka","IN","B01003_001",320700,NA
"337","43900","Spartanburg","SC","B01003_001",329839,NA
"338","44060","Spokane-Spokane Valley","WA","B01003_001",555308,NA
"339","44100","Springfield","IL","B01003_001",210028,NA
"340","44140","Springfield","MA","B01003_001",630275,NA
"341","44180","Springfield","MO","B01003_001",458834,NA
"342","44220","Springfield","OH","B01003_001",135198,NA
"343","44300","State College","PA","B01003_001",161443,NA
"344","44420","Staunton-Waynesboro","VA","B01003_001",121079,NA
"345","44700","Stockton-Lodi","CA","B01003_001",732212,NA
"346","44940","Sumter","SC","B01003_001",106995,NA
"347","45060","Syracuse","NY","B01003_001",654705,NA
"348","45220","Tallahassee","FL","B01003_001",380101,NA
"349","45300","Tampa-St. Petersburg-Clearwater","FL","B01003_001",3030047,NA
"350","45460","Terre Haute","IN","B01003_001",170313,NA
"351","45500","Texarkana","TX","B01003_001",150034,NA
"352","45540","The Villages","FL","B01003_001",120999,NA
"353","45780","Toledo","OH","B01003_001",604620,NA
"354","45820","Topeka","KS","B01003_001",233260,NA
"355","45940","Trenton","NJ","B01003_001",368762,NA
"356","46060","Tucson","AZ","B01003_001",1019722,NA
"357","46140","Tulsa","OK","B01003_001",985233,NA
"358","46220","Tuscaloosa","AL","B01003_001",241398,NA
"359","46300","Twin Falls","ID","B01003_001",107097,NA
"360","46340","Tyler","TX","B01003_001",225015,NA
"361","46520","Urban Honolulu","HI","B01003_001",987638,NA
"362","46540","Utica-Rome","NY","B01003_001",293287,NA
"363","46660","Valdosta","GA","B01003_001",144564,NA
"364","46700","Vallejo-Fairfield","CA","B01003_001",438530,NA
"365","47020","Victoria","TX","B01003_001",99501,NA
"366","47220","Vineland-Bridgeton","NJ","B01003_001",153400,NA
"367","47260","Virginia Beach-Norfolk-Newport News","VA","B01003_001",1722001,NA
"368","47300","Visalia-Porterville","CA","B01003_001",460477,NA
"369","47380","Waco","TX","B01003_001",265728,NA
"370","47460","Walla Walla","WA","B01003_001",64237,NA
"371","47580","Warner Robins","GA","B01003_001",189943,NA
"372","47900","Washington-Arlington-Alexandria","DC","B01003_001",6138382,NA
"373","47940","Waterloo-Cedar Falls","IA","B01003_001",170132,NA
"374","48060","Watertown-Fort Drum","NY","B01003_001",114448,NA
"375","48140","Wausau","WI","B01003_001",135264,NA
"376","48260","Weirton-Steubenville","WV","B01003_001",119338,NA
"377","48300","Wenatchee","WA","B01003_001",117128,NA
"378","48540","Wheeling","WV","B01003_001",142664,NA
"379","48620","Wichita","KS","B01003_001",643765,NA
"380","48660","Wichita Falls","TX","B01003_001",150994,NA
"381","48700","Williamsport","PA","B01003_001",114859,NA
"382","48900","Wilmington","NC","B01003_001",283251,NA
"383","49020","Winchester","VA","B01003_001",136305,NA
"384","49180","Winston-Salem","NC","B01003_001",661798,NA
"385","49340","Worcester","MA","B01003_001",938818,NA
"386","49420","Yakima","WA","B01003_001",249325,NA
"387","49620","York-Hanover","PA","B01003_001",444014,NA
"388","49660","Youngstown-Warren-Boardman","OH","B01003_001",545488,NA
"389","49700","Yuba City","CA","B01003_001",171365,NA
"390","49740","Yuma","AZ","B01003_001",207829,NA
